	Temperature (C)	Heat Flow (W/g)	baseline
0	25.01	-0.007621462935479606	-0.0028740073837320284
1	25.02	-0.00751408810304488	-0.0028664649111941522
2	25.03	-0.0073381418419624644	-0.002858922438703276
3	25.04	-0.007219338437796985	-0.0028513799663524115
4	25.05	-0.007171963604610809	-0.0028438374942789165
5	25.06	-0.0069745887706793575	-0.0028362950226633902
6	25.07	-0.0068772139356374495	-0.0028287525517292807
7	25.08	-0.006859839099049303	-0.002821210081741006
8	25.09	-0.006832464260410287	-0.002813667613003064
9	25.1	-0.00675175608581613	-0.002806125145859935
10	25.11	-0.006662714574627415	-0.002798582680695885
11	25.12	-0.006590339726136651	-0.0027910402179342434
12	25.13	-0.00645010773004806	-0.0027834977580365934
13	25.14	-0.0062289233474275285	-0.0027759553015021332
14	25.15	-0.006178215148799904	-0.0027684128488663605
15	25.16	-0.005950840276057523	-0.0027608704006989574
16	25.17	-0.005836798728173775	-0.002753327957603364
17	25.18	-0.005846090504063817	-0.002745785520214601
18	25.19	-0.005742048935917232	-0.0027382430891982144
19	25.2	-0.005768483546343184	-0.002730700665250445
20	25.21	-0.005713965762652595	-0.002723158249097272
21	25.22	-0.005616590821623912	-0.0027156158414947513
22	25.23	-0.005759215864740153	-0.0027080734432285447
23	25.24	-0.0056218408905714945	-0.002700531055113035
24	25.25	-0.005607799230966215	-0.002692988677992812
25	25.26	-0.005527090884382968	-0.002685446312741384
26	25.27	-0.005429715849224248	-0.0026779039602611173
27	25.28	-0.005332340790506596	-0.002670361621482509
28	25.29	-0.005234965706524708	-0.0026628192973633
29	25.3	-0.005237590595521091	-0.0026552769888875845
30	25.31	-0.00526521545568448	-0.002647734697064923
31	25.32	-0.005192840285152656	-0.0026401924229304398
32	25.33	-0.0051454650820117465	-0.0026326501675451716
33	25.34	-0.005098089844295384	-0.0026251079319954285
34	25.35	-0.005117381236652285	-0.002617565717392397
35	25.36	-0.004953339257013134	-0.0026100235248717476
36	25.37	-0.004955963903259253	-0.0026024813555938987
37	25.38	-0.004978588506552306	-0.0025949392107424696
38	25.39	-0.004861213064673908	-0.0025873970915243787
39	25.4	-0.00489717090868691	-0.002579854999170144
40	25.41	-0.004841462036273558	-0.0025723129349327946
41	25.42	-0.0047690864450657955	-0.0025647709000883017
42	25.43	-0.004871710799314588	-0.0025572288959351016
43	25.44	-0.00465766842988824	-0.0025496869237934565
44	25.45	-0.0047269593342718075	-0.002542144985006542
45	25.46	-0.004712916843239601	-0.002534603080938402
46	25.47	-0.004715540954184583	-0.00252706121297471
47	25.48	-0.004724831664451923	-0.0025195193825227075
48	25.49	-0.004927455638005895	-0.0025119775910113023
49	25.5	-0.004965079538764794	-0.002504435839891235
50	25.51	-0.0049677033639285995	-0.00249689413063716
51	25.52	-0.004845327110648778	-0.0024893524647480935
52	25.53	-0.004897950776026949	-0.002481810843747513
53	25.54	-0.005025574357115925	-0.0024742692691822198
54	25.55	-0.005003197850923513	-0.0024667277426229347
55	25.56	-0.005005821254403298	-0.002459186265665636
56	25.57	-0.004908444564460712	-0.0024516448399314154
57	25.58	-0.00466106777795261	-0.002444103467066575
58	25.59	-0.004763690891685712	-0.00243656214874174
59	25.6	-0.004466313902419472	-0.002429020886649485
60	25.61	-0.00424393680686741	-0.002421479682505421
61	25.62	-0.0040215596016976995	-0.0024139385380453305
62	25.63	-0.0038575156168709768	-0.0024063974550230377
63	25.64	-0.0036601381823060386	-0.0023988564352082813
64	25.65	-0.003446093961221308	-0.0023913154803851654
65	25.66	-0.0032570496167956264	-0.002383774592350282
66	25.67	-0.0031346718121740835	-0.0023762337729106653
67	25.68	-0.0031772938771350567	-0.002368693023881996
68	25.69	-0.003039915808092264	-0.0023611523470874634
69	25.7	-0.00309968045857012	-0.002353611744358263
70	25.71	-0.003045159253492802	-0.002346071217532311
71	25.72	-0.0029811140939419722	-0.0023385307684549088
72	25.73	-0.0028837354523969516	-0.00233099039897828
73	25.74	-0.0028030233251197245	-0.0023234501109610085
74	25.75	-0.0027806443750097998	-0.00231590990626715
75	25.76	-0.0029582652649380314	-0.0023083697867655084
76	25.77	-0.002960885991084794	-0.0023008297543294872
77	25.78	-0.003043506549598174	-0.002293289810838923
78	25.79	-0.0032661269366016654	-0.0022857499581801864
79	25.8	-0.00348874714818459	-0.002278210198247076
80	25.81	-0.0036047005137378463	-0.0022706705329430966
81	25.82	-0.003616844172142031	-0.002263130964183737
82	25.83	-0.0037766066908124785	-0.002255591493897694
83	25.84	-0.0037592261609402655	-0.002248052124027065
84	25.85	-0.0038018454355803755	-0.0022405128565290066
85	25.86	-0.003934464510608304	-0.002232973693375637
86	25.87	-0.004187083381863577	-0.00222543463655453
87	25.88	-0.004089702045143362	-0.0022178956880701066
88	25.89	-0.004325653829540865	-0.0022103568499462056
89	25.9	-0.004266367302203644	-0.0022028181242251957
90	25.91	-0.004147556744521275	-0.0021952795129703885
91	25.92	-0.004233507866415298	-0.0021877410182655223
92	25.93	-0.004252792092049429	-0.002180202642213664
93	25.94	-0.004355409416972211	-0.0021726643869381364
94	25.95	-0.0043080265033594856	-0.0021651262545827788
95	25.96	-0.004210643346676424	-0.0021575882473130396
96	25.97	-0.004179926609011009	-0.002150050367315583
97	25.98	-0.004015876285743403	-0.0021425126167973984
98	25.99	-0.0038934923722133696	-0.002134974997985571
99	26.0	-0.003787774863718507	-0.0021274375131257323
100	26.01	-0.003823723755519204	-0.002119900164480923
101	26.02	-0.003526339042838611	-0.0021123629543306215
102	26.03	-0.0035039540541954572	-0.002104825884971174
103	26.04	-0.003298235451406395	-0.0020972889587129234
104	26.05	-0.003214183229589551	-0.002089752177880065
105	26.06	-0.003103464050494331	-0.002082215544808682
106	26.07	-0.002919411242507053	-0.0020746790618459913
107	26.08	-0.002867024800645268	-0.0020671427313493206
108	26.09	-0.0027279713865673294	-0.002059606555684361
109	26.1	-0.0025472509952346734	-0.0020520705372247226
110	26.11	-0.002474863621582113	-0.0020445346783506324
111	26.12	-0.002252475927185138	-0.0020369989814472203
112	26.13	-0.002230087906927025	-0.0020294634489038763
113	26.14	-0.0019326995556703253	-0.0020219280831121236
114	26.15	-0.001960310868256432	-0.0020143928864654716
115	26.16	-0.0018629218395065372	-0.002006857861357419
116	26.17	-0.0017655324642213976	-0.00199932301018146
117	26.18	-0.001548142737183511	-0.0019917883353310737
118	26.19	-0.0015374193198263164	-0.0019842538391997154
119	26.2	-0.001173362206899231	-0.001976719524180795
120	26.21	-0.0009759713931374314	-0.001969185392667679
121	26.22	-0.0008785802065962578	-0.0019616514470536515
122	26.23	-0.0007561886419877872	-0.0019541176897318988
123	26.24	-0.000583796694015426	-0.001946584123095497
124	26.25	-0.0005114043573737348	-0.001939050749537402
125	26.26	-0.00038901162675264445	-0.0019315175714504345
126	26.27	-0.0003166184968348418	-0.0019239845912272706
127	26.28	-0.00021422496229916987	-0.0019164518112604317
128	26.29	-0.00015683101782082431	-0.0019089192339422788
129	26.3	-5.943665807084386e-05	-0.0019013868616650016
130	26.31	-0.0001020418777217813	-0.0018938546968206157
131	26.32	-8.464667144192362e-05	-0.0018863227418009518
132	26.33	4.274896609901546e-05	-0.0018787909989976606
133	26.34	0.00011014504023343363	-0.0018712594708022137
134	26.35	6.25415562920395e-05	-0.0018637281596058897
135	26.36	-4.0061480393038806e-05	-0.0018561970677997684
136	26.37	0.00011566926884043482	-0.001848666197774736
137	26.38	4.733809324530824e-06	-0.0018411355519214968
138	26.39	7.713214638771504e-05	-0.001833605132630558
139	26.4	-6.296904797409297e-05	-0.001826074942292242
140	26.41	-0.00027806976843214315	-0.0018185449832966805
141	26.42	-0.00018067000965826807	-0.0018110152580338287
142	26.43	-0.00023326976632187524	-0.0018034857688934884
143	26.44	-0.00021086903309264216	-0.001795956518265298
144	26.45	-0.00041846780463616895	-0.0017884275085387382
145	26.46	-0.0004077327422833399	-0.0017808987421031315
146	26.47	-0.0004103305073597241	-0.0017733702213476642
147	26.48	-0.0004462610945221712	-0.001765841948661384
148	26.49	-0.00042385783175680203	-0.0017583139264332015
149	26.5	-0.00035145404704417516	-0.0017507861570518952
150	26.51	-0.0003540497350291716	-0.0017432586429061122
151	26.52	-0.00030664489035281406	-0.001735731386384359
152	26.53	-0.00023423950765133483	-0.0017282043898750054
153	26.54	-6.18335815580906e-05	-0.0017206776557662775
154	26.55	1.0572893296423302e-05	-0.001713151186446252
155	26.56	-1.7020077716090043e-05	-0.0017056249843028408
156	26.57	6.372084410788403e-05	-0.001698099051723782
157	26.58	0.00010279566413995411	-0.0016905733910966463
158	26.59	-7.479561224732478e-05	-0.0016830480048088286
159	26.6	-0.0001273863130148989	-0.0016755228952475445
160	26.61	-3.997643278852436e-05	-0.001667998064799848
161	26.62	1.743403380816133e-05	-0.0016604735158526377
162	26.63	-3.5154907850110106e-05	-0.0016529492507926496
163	26.64	6.225674761362043e-05	-0.0016454252720064508
164	26.65	-5.033099442597333e-05	-0.001637901581880447
165	26.66	-1.791812859108788e-05	-0.0016303781828008734
166	26.67	0.00010449535049517067	-0.001622855077153806
167	26.68	0.0001619094482081529	-0.0016153322673251593
168	26.69	0.0003659908365905018	-0.0016078097557006756
169	26.7	0.00036340618768315736	-0.0016002875446659197
170	26.71	0.00036082217352806367	-0.0015927656366062585
171	26.72	0.0005915721328335621	-0.001585244033906861
172	26.73	0.0006556560709736203	-0.0015777227389527015
173	26.74	0.0007664073266555604	-0.0015702017541285361
174	26.75	0.0008588259052513258	-0.001562681081818896
175	26.76	0.0009612451454694693	-0.0015551607244080794
176	26.77	0.0009786650526830698	-0.0015476406842801407
177	26.78	0.0009560856322679001	-0.001540120963818883
178	26.79	0.0010735068895986188	-0.0015326015654078572
179	26.8	0.0010875954967177748	-0.0015250824914303642
180	26.81	0.001168351458999961	-0.0015175637442694438
181	26.82	0.001265774781820106	-0.0015100453263078753
182	26.83	0.001263198803885146	-0.001502527239928168
183	26.84	0.0013606235305667624	-0.0014950094875125547
184	26.85	0.0014330489672373936	-0.0014874920714429915
185	26.86	0.0013554751192708103	-0.001479974994101148
186	26.87	0.001452901992036626	-0.0014724582578684012
187	26.88	0.001400329590907301	-0.0014649418651258446
188	26.89	0.0014810912545866195	-0.0014574258182542786
189	26.9	0.0014594727027312793	-0.0014499101196342172
190	26.91	0.001542616797852947	-0.0014423947716458792
191	26.92	0.0015400473548456972	-0.001434879776669193
192	26.93	0.0016231929505075016	-0.0014273651370837886
193	26.94	0.0015349107330666634	-0.0014198508552689983
194	26.95	0.0014523435650373173	-0.0014123369336038487
195	26.96	0.001369777166077224	-0.0014048233744670716
196	26.97	0.0014272115415576714	-0.001397310180237111
197	26.98	0.001474646696850268	-0.001389797353292133
198	26.99	0.0012970826373250866	-0.001382284896010022
199	27.0	0.0011195193683519733	-0.0013747728107683743
200	27.01	0.0009502902286335768	-0.0013672610999445208
201	27.02	0.0010810618902064029	-0.0013597497659155412
202	27.03	0.0009868343584393813	-0.0013522388110582845
203	27.04	0.0010092743053702335	-0.001344728237749356
204	27.05	0.00115671506970072	-0.0013372180483651255
205	27.06	0.0011708233234686283	-0.001329708245281729
206	27.07	0.0013301705006161235	-0.0013221988308750516
207	27.08	0.0014490423207971226	-0.0013146898075207293
208	27.09	0.0016214864084296288	-0.0013071811775941312
209	27.1	0.0018439313403129098	-0.0012996729434703502
210	27.11	0.0018913771218147524	-0.0012921651075241869
211	27.12	0.0020888237583047697	-0.0012846576721301263
212	27.13	0.0021862712551499186	-0.001277150639662336
213	27.14	0.002117052951050802	-0.001269644012494646
214	27.15	0.0020811688513737714	-0.0012621377930005404
215	27.16	0.002003618961484488	-0.001254631983553164
216	27.17	0.0018360699534154534	-0.001247126586525327
217	27.18	0.0017735218325314328	-0.001239621604289514
218	27.19	0.0017043079375289594	-0.001232117039217901
219	27.2	0.0015017616071051343	-0.0012246128936823626
220	27.21	0.001499216179953411	-0.0012171091700544797
221	27.22	0.0012633383281039912	-0.0012096058707055603
222	27.23	0.0013107947235844186	-0.0012021029980066411
223	27.24	0.0011082520384224637	-0.0011946005543285107
224	27.25	0.0011271388494042966	-0.0011870985420417066
225	27.26	0.0008781694476023283	-0.001179596963516536
226	27.27	0.0007506295526602536	-0.0011720958211230742
227	27.28	0.0009080905985063836	-0.00116459511723119
228	27.29	0.0008255525904963257	-0.0011570948542105597
229	27.3	0.0008430155339849144	-0.0011495950344306523
230	27.31	0.0009154794343273487	-0.0011420956602607385
231	27.32	0.0008979442968777285	-0.001134596734069891
232	27.33	0.0011020767936580356	-0.001127098258226975
233	27.34	0.0010128769300221663	-0.0011196002351006543
234	27.35	0.0010970113779924517	-0.0011121026670593691
235	27.36	0.001161146809590452	-0.001104605556471347
236	27.37	0.001158616563502246	-0.0010971089057045939
237	27.38	0.0012394206450840883	-0.0010896127171268896
238	27.39	0.0011952257263532218	-0.001082116993105787
239	27.4	0.0013926984793282138	-0.0010746217360086065
240	27.41	0.001381838909361388	-0.0010671269482024396
241	27.42	0.0013793136884698853	-0.001059632632054132
242	27.43	0.0013501228220031969	-0.0010521387899302848
243	27.44	0.0015475996486427057	-0.0010446454241972549
244	27.45	0.0016800775070708873	-0.0010371525372211594
245	27.46	0.0019358897359680327	-0.001029660131367856
246	27.47	0.0021200363406808087	-0.0010221682090029304
247	27.48	0.00219751732655471	-0.001014676772491672
248	27.49	0.002244999365602407	-0.0010071858241990567
249	27.5	0.0024924824631678	-0.0009996953664897393
250	27.51	0.0025899666245936537	-0.0009922054017280494
251	27.52	0.002720785188557784	-0.0009847159322779668
252	27.53	0.002713509588970986	-0.0009772269605031138
253	27.54	0.0027824255454622637	-0.000969738488766741
254	27.55	0.0028299140157539426	-0.0009622505194317297
255	27.56	0.003002403576615187	-0.0009547630548605859
256	27.57	0.0030177513762428276	-0.0009472760974154357
257	27.58	0.0031223859914040197	-0.0009397896494580105
258	27.59	0.0031098788560091073	-0.0009323037133496449
259	27.6	0.0031923728325429224	-0.0009248182914512671
260	27.61	0.003244867926345929	-0.0009173333861234009
261	27.62	0.00316236414275739	-0.0009098489997261586
262	27.63	0.0033798614871183297	-0.0009023651346192362
263	27.64	0.0036073599647705734	-0.0008948817931619229
264	27.65	0.003688192914386601	-0.0008873989777130793
265	27.66	0.003802360341305988	-0.0008799166906311161
266	27.67	0.003969862250866374	-0.0008724349342739867
267	27.68	0.004067365315072458	-0.0008649537109991765
268	27.69	0.004069869539263582	-0.0008574730231636866
269	27.7	0.004175708262111222	-0.0008499928731240251
270	27.71	0.004289881488952929	-0.0008425132632362072
271	27.72	0.004277389225125994	-0.0008350341958557461
272	27.73	0.0041348981426332365	-0.0008275556733376414
273	27.74	0.004232408246810149	-0.0008200776980363811
274	27.75	0.004163252876326684	-0.0008126002723059569
275	27.76	0.004087432036516514	-0.0008051233984998559
276	27.77	0.004024945732711949	-0.0007976470789710671
277	27.78	0.004172460636912678	-0.0007901713160720906
278	27.79	0.004219976754449739	-0.0007826961121549446
279	27.8	0.00435749409065167	-0.0007752214695711508
280	27.81	0.004515012650849304	-0.0007677473906717311
281	27.82	0.00463475466259089	-0.0007602738778071942
282	27.83	0.005010053464537645	-0.0007528009333275206
283	27.84	0.005107575728681368	-0.0007453285595821509
284	27.85	0.005305099238124722	-0.0007378567589199495
285	27.86	0.005335957331524366	-0.0007303855336891954
286	27.87	0.005385864299917387	-0.0007229148862375629
287	27.88	0.005397677291484548	-0.0007154448189121196
288	27.89	0.005509491549640533	-0.0007079753340593224
289	27.9	0.005492735651135838	-0.0007005064340250166
290	27.91	0.005590266744146533	-0.000693038121154426
291	27.92	0.005687799119706405	-0.0006855703977921552
292	27.93	0.005625332783133263	-0.0006781032662821802
293	27.94	0.005582867739744923	-0.00067063672896784
294	27.95	0.005697070661525139	-0.0006631707881918427
295	27.96	0.0056779415537873135	-0.0006557054462962709
296	27.97	0.005875480421847268	-0.0006482407056225709
297	27.98	0.0058330206043519794	-0.0006407765685115558
298	27.99	0.0058038954399486364	-0.0006333130373033858
299	28.0	0.005884771600614069	-0.0006258501143375739
300	28.01	0.005765649091662883	-0.0006183878019529889
301	28.02	0.005729861251736246	-0.0006109261024878486
302	28.03	0.005710741419477916	-0.0006034650182797326
303	28.04	0.005858289600195743	-0.0005960045516655858
304	28.05	0.005698696275387771	-0.0005885447049817223
305	28.06	0.005853390021787419	-0.0005810854805638102
306	28.07	0.005775942273271273	-0.0005736268807468894
307	28.08	0.00574849589228732	-0.0005661689078653567
308	28.09	0.0055460508841398415	-0.0005587115642529733
309	28.1	0.005610273920796605	-0.000551254852242869
310	28.11	0.005701165007561126	-0.0005437987741675628
311	28.12	0.005738724149735308	-0.0005363433323589574
312	28.13	0.005769618019287215	-0.0005288885291483311
313	28.14	0.005767179954853763	-0.0005214343668663344
314	28.15	0.005691409961736671	-0.0005139808478429876
315	28.16	0.005778974711904805	-0.0005065279744076823
316	28.17	0.005651540877325445	-0.0004990757488891891
317	28.18	0.005584108463297266	-0.0004916241736156498
318	28.19	0.005605010808451549	-0.00048417325091459104
319	28.2	0.005544247918084277	-0.0004767229831129317
320	28.21	0.005683486464158616	-0.0004692733725369815
321	28.22	0.0057810597853027446	-0.0004618244215124485
322	28.23	0.005951967886810738	-0.0004543761323644252
323	28.24	0.006009544107307807	-0.0004469285074173797
324	28.25	0.0059737884520854045	-0.0004394815489951394
325	28.26	0.006044700926433055	-0.00043203525942088624
326	28.27	0.006052281535639192	-0.000424589641017161
327	28.28	0.005819863618325538	-0.00041714469610585676
328	28.29	0.0058474471797786975	-0.00040970042700821854
329	28.3	0.0057950322252846576	-0.00040225683604486775
330	28.31	0.005717618760129994	-0.00039481392553579995
331	28.32	0.005690206789603192	-0.00038737169780039094
332	28.33	0.005787796318987848	-0.00037993015515740526
333	28.34	0.005871101639283616	-0.0003724892999249996
334	28.35	0.005782979898631524	-0.0003650491344207138
335	28.36	0.005780573959457858	-0.00035760966096146313
336	28.37	0.005844836207995474	-0.00035017088186354775
337	28.38	0.0059157666495255334	-0.00034273279944265416
338	28.39	0.005923365289325577	-0.0003352954160138492
339	28.4	0.005820965466005301	-0.00032785873389157375
340	28.41	0.005888567184842763	-0.00032042275538964293
341	28.42	0.005866170451111152	-0.00031298748282125696
342	28.43	0.005763775270084981	-0.0003055529184989951
343	28.44	0.005811381647035763	-0.00029811906473481826
344	28.45	0.005868989587234363	-0.0002906859238400807
345	28.46	0.005856599095952486	-0.0002832534981255257
346	28.47	0.005954210178461317	-0.0002758217899012803
347	28.48	0.006085156173365025	-0.0002683908014768574
348	28.49	0.006116103752599411	-0.0002609605351611469
349	28.5	0.006063719588101257	-0.0002535309932624034
350	28.51	0.005919670351806516	-0.0002461021780882435
351	28.52	0.00600895604898577	-0.000238674091945652
352	28.53	0.005989910018240341	-0.00023124673714099717
353	28.54	0.00608753226483838	-0.0002238201159800223
354	28.55	0.006135156127382135	-0.0002163942307678485
355	28.56	0.0062161149444701636	-0.00020896908380896583
356	28.57	0.006197075388036044	-0.000201544677407229
357	28.58	0.00637803746334642	-0.00019412101386585023
358	28.59	0.006465667842331602	-0.00018669809548740182
359	28.6	0.006523299863589127	-0.0001792759245737987
360	28.61	0.0063959335323837685	-0.00017185450342629063
361	28.62	0.006393568853977349	-0.00016443383434545727
362	28.63	0.00657620583363272	-0.0001570139196312215
363	28.64	0.006663844476610059	-0.00014959476158285043
364	28.65	0.006544818121506868	-0.00014217636249893784
365	28.66	0.006642460106915937	-0.0001347587246773961
366	28.67	0.006740103771430306	-0.00012734185041546892
367	28.68	0.0066794157869747295	-0.00011992574200972221
368	28.69	0.006635396158809037	-0.00011251040175603512
369	28.7	0.006477489336634612	-0.00010509583194960683
370	28.71	0.00629736199237696	-9.768203488496177e-05
371	28.72	0.006295014131292298	-9.026901285596606e-05
372	28.73	0.00627838226657218	-8.285676815584633e-05
373	28.74	0.006390323546329402	-7.544530307719063e-05
374	28.75	0.006062980832961085	-6.803461991195092e-05
375	28.76	0.006045639846005368	-6.0624720951432574e-05
376	28.77	0.005983300590714613	-5.321560848632785e-05
377	28.78	0.0060142964056715265	-4.580728480671835e-05
378	28.79	0.00597862729612908	-3.839975220208202e-05
379	28.8	0.005909626600668627	-3.099301296129079e-05
380	28.81	0.005973960991205285	-2.3587069372614874e-05
381	28.82	0.005946630472984271	-1.6181923723730413e-05
382	28.83	0.005869301717919662	-8.777578301713795e-06
383	28.84	0.005916974731254854	-1.3740353930451247e-06
384	28.85	0.005864649518232845	6.028702716383302e-06
385	28.86	0.005922326084096596	1.3430633741271026e-05
386	28.87	0.005960004434088173	2.083175539690344e-05
387	28.88	0.00608268457345007	2.823206539915683e-05
388	28.89	0.006088699840756995	3.563156146450141e-05
389	28.9	0.006236383574586224	4.303024131001284e-05
390	28.91	0.0064174024468450774	5.042810265337208e-05
391	28.92	0.006548423129440373	5.7825143212879445e-05
392	28.93	0.006606112294278876	6.522136070747194e-05
393	28.94	0.006843803279933169	7.261675285673562e-05
394	28.95	0.007055781805927808	8.00113173809107e-05
395	28.96	0.0071058574013100895	8.740505200091442e-05
396	28.97	0.007236887214173926	9.479795443836159e-05
397	28.98	0.007434585535471161	0.00010219002241556885
398	28.99	0.007532285703772068	0.00010958125365556708
399	29.0	0.007609987724313427	0.00011697164588212034
400	29.01	0.0077476916023315745	0.00012436119681973496
401	29.02	0.007825397343060647	0.00013174990419366654
402	29.03	0.007923104951735205	0.00013913776572993295
403	29.04	0.00787081443359261	0.00014652477915532152
404	29.05	0.007978525793866709	0.00015391094219739782
405	29.06	0.008082905704458465	0.00016129625258449982
406	29.07	0.008142525599172057	0.00016868070804574786
407	29.08	0.008036671197525713	0.0001760643063110546
408	29.09	0.00807605679046386	0.0001834470451111299
409	29.1	0.008073777621311784	0.0001908289221774699
410	29.11	0.008071500361963135	0.00019820993524235987
411	29.12	0.008252558350977157	0.00020559008203887346
412	29.13	0.00825028492691171	0.00021296936030087147
413	29.14	0.008364680094990362	0.00022034776776301942
414	29.15	0.00837574386043638	0.00022772530216078637
415	29.16	0.008218476228471161	0.0002351019612304558
416	29.17	0.008357877204316022	0.00024247774270912587
417	29.18	0.00830323250747611	0.0002498526443346929
418	29.19	0.00828668500031382	0.00025722666384586483
419	29.2	0.008351091830903545	0.0002645997989821548
420	29.21	0.008257167290178558	0.0002719720474838791
421	29.22	0.008259911383354357	0.00027934340709216254
422	29.23	0.008237657448979974	0.00028671387554892835
423	29.24	0.008308738825606454	0.000294083450596898
424	29.25	0.008339822185113643	0.00030145212997958787
425	29.26	0.008470907532716954	0.00030881991144131587
426	29.27	0.00861866154029478	0.00031618679272720363
427	29.28	0.00849141754639371	0.00032355277158318906
428	29.29	0.00868917555622506	0.0003309178457560404
429	29.3	0.008621935575001682	0.00033828201299334275
430	29.31	0.008579697607931536	0.0003456452710435169
431	29.32	0.008632461660223356	0.0003530076176558122
432	29.33	0.008671894403750269	0.0003603690505803015
433	29.34	0.008719662510384474	0.00036772956756788556
434	29.35	0.008717432651998536	0.0003750891663702961
435	29.36	0.008823538167129552	0.0003824478447401
436	29.37	0.009046312394313638	0.00038980560043069834
437	29.38	0.009027422005420505	0.0003971624311963365
438	29.39	0.009066867005649293	0.0004045183347921257
439	29.4	0.008999647400202537	0.0004118733089740401
440	29.41	0.008837429860943935	0.00041922735149892
