	Temperature (C)	Heat Flow (W/g)
437	25.01	-0.02707690107442584
438	25.02	-0.02695411675916537
439	25.03	-0.026762761015328707
440	25.04	-0.02662854812861859
441	25.05	-0.026565763813304777
442	25.06	-0.026352979497934026
443	25.07	-0.02624019518247911
444	25.08	-0.026207410866906145
445	25.09	-0.02616462655117635
446	25.1	-0.026068508901912146
447	25.11	-0.025964057919064754
448	25.12	-0.02587627360258038
449	25.13	-0.02572063214287512
450	25.14	-0.025484038301789358
451	25.15	-0.025417920650682824
452	25.16	-0.025175136332336923
453	25.17	-0.025045685346670954
454	25.18	-0.02503956769360105
455	25.19	-0.024920116706368844
456	25.2	-0.024931141908689725
457	25.21	-0.02486121472903413
458	25.22	-0.024748430405391986
459	25.23	-0.02487564608050885
460	25.24	-0.024722861754266745
461	25.25	-0.0246934107598773
462	25.26	-0.02459729309721359
463	25.27	-0.024484508766143165
464	25.28	-0.024371724433196018
465	25.29	-0.024258940098230042
466	25.3	-0.024246155761098898
467	25.31	-0.02425837142164866
468	25.32	-0.024170587079723305
469	25.33	-0.02410780273516
470	25.34	-0.024045018387792716
471	25.35	-0.024048900704114473
472	25.36	-0.023869449683947774
473	25.37	-0.02385666532711106
474	25.38	-0.02386388096674885
475	25.39	-0.0237310966026687
476	25.4	-0.02375164556800513
477	25.41	-0.02368052786255559
478	25.42	-0.023592743486111623
479	25.43	-0.023679959105128656
480	25.44	-0.023450508052722085
481	25.45	-0.023504390328668467
482	25.46	-0.023474939266074024
483	25.47	-0.023462154864706264
484	25.48	-0.023456037124327533
485	25.49	-0.02364325271136014
486	25.5	-0.02366546829222438
487	25.51	-0.02365268386666619
488	25.52	-0.023514899434427416
489	25.53	-0.023552114995243567
490	25.54	-0.023664330548845758
491	25.55	-0.023626546094962286
492	25.56	-0.023613761633313413
493	25.57	-0.02350097716361521
494	25.58	-0.023238192685580028
495	25.59	-0.023325408198914044
496	25.6	-0.023012623703318802
497	25.61	-0.02277483919849166
498	25.62	-0.022537054684122815
499	25.63	-0.02235760349323357
500	25.64	-0.022144818958837575
